order_id,customer_id,order_date,product,region,sales_channel,units_sold,unit_price,revenue
5001,1103,2023-01-15,Accessories,North,Offline,3,56856,170568
5002,1180,2023-06-06,Accessories,North,Online,6,15245,91470
5003,1093,2023-05-16,Mobile,East,Online,7,6230,43610
5004,1015,2023-09-18,Accessories,North,Online,3,14421,43263
5005,1107,2023-06-06,Software,East,Online,2,71638,143276
5006,1072,2023-02-16,Software,North,Offline,2,19523,39046
5007,1189,2023-11-20,Software,North,Online,1,45849,45849
5008,1021,2023-11-28,Laptop,South,Online,4,42479,169916
5009,1103,2023-06-22,Mobile,East,Offline,1,23337,23337
5010,1122,2023-05-10,Laptop,North,Online,7,15497,108479
5011,1075,2023-04-05,Accessories,East,Online,3,45539,136617
5012,1088,2023-04-25,Laptop,East,Offline,5,21423,107115
5013,1117,2023-08-31,Accessories,West,Offline,5,9376,46880
5014,1100,2023-10-19,Accessories,South,Offline,2,61473,122946
5015,1104,2023-10-09,Tablet,South,Online,5,3387,16935
5016,1152,2023-10-26,Software,South,Offline,5,64223,321115
5017,1131,2023-10-10,Accessories,West,Offline,7,42922,300454
5018,1150,2023-03-10,Tablet,West,Online,5,51913,259565
5019,1053,2023-05-28,Software,South,Online,3,3341,10023
5020,1002,2023-01-11,Accessories,West,Online,5,29256,146280
5021,1088,2023-09-11,Accessories,West,Online,6,72076,432456
5022,1158,2023-11-26,Laptop,West,Online,5,10804,54020
5023,1038,2023-12-26,Laptop,South,Offline,5,30841,154205
5024,1130,2023-02-07,Software,South,Offline,1,5258,5258
5025,1192,2023-05-14,Accessories,South,Offline,3,17510,52530
5026,1188,2023-07-19,Mobile,West,Online,2,61258,122516
5027,1021,2023-01-23,Laptop,South,Online,1,32158,32158
5028,1161,2023-10-30,Software,West,Online,4,49502,198008
5029,1058,2023-12-12,Accessories,North,Offline,3,1875,5625
5030,1022,2023-10-29,Accessories,West,Offline,6,22592,135552
5031,1089,2023-12-29,Mobile,East,Online,3,990,2970
5032,1049,2023-08-06,Software,South,Offline,4,4229,16916
5033,1059,2023-05-21,Accessories,South,Online,4,6474,25896
5034,1170,2023-04-14,Laptop,East,Offline,4,21898,87592
5035,1188,2023-07-29,Mobile,West,Offline,7,35150,246050
5036,1015,2023-04-21,Software,North,Offline,2,21792,43584
5037,1190,2023-04-14,Mobile,East,Online,5,3659,18295
5038,1190,2023-11-12,Laptop,East,Offline,3,63266,189798
