interaction_id,customer_id,interaction_date,interaction_type,issue_resolved
1,1128,2023-12-19,Email,Yes
2,1086,2023-05-10,Chat,Yes
3,1047,2023-06-05,Email,Yes
4,1005,2023-03-15,Email,No
5,1001,2023-12-08,Call,No
6,1044,2023-03-31,Call,Yes
7,1150,2023-03-08,Call,No
8,1038,2023-08-24,Email,No
9,1019,2023-07-19,Call,Yes
10,1159,2023-11-28,Call,No
11,1115,2023-08-15,Call,No
12,1195,2023-12-14,Chat,No
13,1087,2023-08-21,Email,No
14,1170,2023-09-23,Call,Yes
15,1123,2023-03-27,Chat,No
16,1082,2023-04-12,Chat,Yes
17,1154,2023-08-02,Chat,Yes
18,1141,2023-04-18,Call,No
19,1058,2023-06-14,Chat,Yes
20,1146,2023-04-01,Email,No
21,1067,2023-07-11,Chat,Yes
22,1122,2023-12-01,Chat,No
23,1087,2023-03-27,Chat,No
24,1131,2023-08-10,Chat,Yes
25,1055,2023-12-29,Email,No
26,1089,2023-04-11,Call,No
27,1058,2023-08-14,Email,No
28,1063,2023-12-30,Email,No
29,1091,2023-03-01,Call,Yes
30,1052,2023-09-07,Chat,Yes
31,1126,2023-02-17,Call,Yes
32,1024,2023-04-27,Call,No
33,1072,2023-08-15,Email,Yes
34,1009,2023-12-28,Call,No
35,1110,2023-02-02,Chat,No
36,1165,2023-02-13,Email,No
37,1094,2023-06-14,Chat,Yes
38,1117,2023-12-11,Email,Yes
39,1083,2023-10-19,Chat,Yes
40,1181,2023-12-03,Call,Yes
41,1080,2023-12-10,Call,No
42,1152,2023-10-14,Call,Yes
43,1149,2023-12-30,Chat,Yes
44,1100,2023-08-13,Email,Yes
45,1040,2023-10-13,Email,Yes
46,1103,2023-07-23,Email,No
47,1062,2023-06-21,Call,Yes
48,1198,2023-01-12,Chat,Yes
49,1069,2023-11-03,Email,Yes
50,1142,2023-05-01,Chat,No
51,1109,2023-09-01,Email,Yes
52,1170,2023-06-01,Call,Yes
53,1178,2023-06-01,Chat,Yes
54,1189,2023-07-07,Email,No
55,1004,2023-01-13,Email,No
56,1072,2023-04-01,Email,Yes
57,1017,2023-07-19,Email,Yes
58,1114,2023-03-15,Call,No
59,1085,2023-09-13,Email,No
60,1057,2023-10-03,Email,No
61,1107,2023-11-24,Call,No
62,1048,2023-11-25,Email,No
63,1172,2023-03-12,Chat,Yes
64,1173,2023-03-19,Chat,Yes
65,1117,2023-10-11,Email,Yes
66,1161,2023-05-10,Call,Yes
67,1031,2023-02-12,Call,No
68,1112,2023-01-08,Call,No
69,1047,2023-01-13,Email,No
70,1134,2023-08-01,Email,No
71,1108,2023-04-21,Chat,No
72,1072,2023-10-18,Call,Yes
73,1071,2023-01-23,Email,Yes
74,1162,2023-10-29,Email,Yes
75,1108,2023-09-11,Email,Yes
76,1053,2023-01-15,Call,Yes
77,1142,2023-05-10,Call,No
78,1016,2023-03-02,Chat,No
79,1171,2023-04-25,Call,No
80,1116,2023-11-16,Email,No
81,1073,2023-11-04,Chat,No
82,1074,2023-11-21,Call,Yes
83,1081,2023-03-08,Call,Yes
84,1012,2023-09-06,Call,Yes
85,1128,2023-06-24,Call,No
86,1070,2023-12-05,Email,No
87,1147,2023-01-02,Call,No
88,1041,2023-06-21,Email,No
89,1181,2023-11-30,Email,Yes
90,1157,2023-10-11,Email,No
91,1198,2023-02-23,Chat,Yes
92,1059,2023-03-08,Email,No
93,1089,2023-04-12,Call,Yes
94,1192,2023-04-30,Chat,No
95,1024,2023-07-10,Call,No
96,1144,2023-10-31,Email,Yes
97,1180,2023-02-16,Call,Yes
98,1080,2023-08-10,Chat,No
99,1134,2023-01-21,Chat,Yes
100,1165,2023-06-07,Call,No
101,1132,2023-12-14,Call,No
102,1092,2023-06-08,Call,Yes
103,1166,2023-08-23,Chat,No
104,1169,2023-05-30,Email,No
105,1092,2023-09-14,Call,Yes
106,1081,2023-06-14,Email,No
107,1142,2023-03-18,Chat,No
108,1071,2023-03-26,Call,No
109,1179,2023-02-15,Call,No
110,1065,2023-02-16,Chat,Yes
111,1052,2023-08-01,Call,Yes
112,1030,2023-02-28,Email,Yes
113,1185,2023-02-23,Chat,No
114,1099,2023-12-08,Chat,Yes
115,1158,2023-01-12,Call,Yes
116,1098,2023-07-11,Chat,Yes
117,1042,2023-01-06,Call,No
118,1139,2023-11-05,Call,Yes
119,1027,2023-05-24,Chat,Yes
120,1152,2023-12-12,Call,No
121,1167,2023-09-18,Email,No
122,1072,2023-03-14,Email,No
123,1018,2023-06-23,Call,No
124,1077,2023-08-20,Email,No
125,1045,2023-09-27,Call,No
126,1115,2023-12-28,Email,Yes
127,1087,2023-08-10,Chat,Yes
128,1140,2023-02-21,Call,No
129,1177,2023-04-26,Call,No
130,1159,2023-01-26,Call,Yes
131,1092,2023-02-22,Call,No
132,1022,2023-12-31,Call,No
133,1172,2023-01-29,Call,Yes
134,1092,2023-01-19,Chat,No
135,1192,2023-10-30,Chat,No
136,1077,2023-10-06,Email,Yes
137,1025,2023-04-27,Call,Yes
138,1108,2023-04-16,Email,Yes
139,1179,2023-11-05,Email,Yes
140,1135,2023-08-15,Chat,Yes
141,1109,2023-12-18,Email,No
142,1134,2023-07-05,Chat,No
143,1024,2023-09-18,Email,No
144,1019,2023-01-16,Call,No
145,1083,2023-09-30,Email,No
146,1115,2023-06-09,Chat,Yes
147,1009,2023-12-24,Chat,No
148,1112,2023-09-07,Chat,No
149,1164,2023-08-12,Email,No
150,1102,2023-09-13,Email,No
151,1168,2023-06-29,Chat,No
152,1152,2023-01-20,Call,Yes
153,1048,2023-04-22,Call,No
154,1191,2023-04-30,Email,No
155,1069,2023-07-13,Email,No
156,1181,2023-04-21,Chat,No
157,1182,2023-07-29,Email,No
158,1170,2023-01-01,Email,No
159,1119,2023-02-27,Chat,Yes
160,1045,2023-04-03,Chat,No
161,1125,2023-08-09,Email,Yes
162,1014,2023-07-30,Call,Yes
163,1157,2023-08-20,Email,No
164,1134,2023-09-19,Call,No
165,1135,2023-12-30,Call,No
166,1037,2023-04-13,Call,Yes
167,1053,2023-02-19,Chat,No
168,1018,2023-04-20,Chat,No
169,1038,2023-03-29,Chat,No
170,1187,2023-01-20,Email,Yes
171,1129,2023-01-14,Chat,Yes
172,1196,2023-05-13,Chat,No
173,1044,2023-10-23,Email,Yes
174,1047,2023-02-03,Email,No
175,1035,2023-07-27,Call,Yes
176,1060,2023-10-28,Email,No
177,1090,2023-07-18,Email,Yes
178,1052,2023-03-21,Chat,No
179,1008,2023-03-12,Call,No
180,1107,2023-06-04,Call,Yes
181,1169,2023-03-19,Email,Yes
182,1131,2023-03-19,Chat,Yes
183,1197,2023-06-21,Chat,Yes
184,1142,2023-10-16,Chat,Yes
185,1096,2023-02-02,Chat,No
186,1026,2023-10-27,Email,No
187,1111,2023-10-03,Chat,Yes
188,1198,2023-01-07,Call,No
189,1123,2023-06-09,Call,No
190,1186,2023-08-28,Email,Yes
191,1168,2023-01-24,Chat,No
192,1051,2023-08-02,Chat,No
193,1123,2023-03-11,Chat,Yes
194,1005,2023-08-04,Chat,Yes
195,1077,2023-04-14,Email,No
