order_id,customer_id,order_date,order_value
8001,1138,2023-11-29,26516
8002,1171,2023-01-01,12436
8003,1015,2023-05-13,11536
8004,1048,2023-03-21,39736
8005,1086,2023-09-28,14521
8006,1149,2023-08-29,37443
8007,1188,2023-01-28,50516
8008,1116,2023-08-11,23744
8009,1050,2023-01-23,63527
8010,1151,2023-04-19,39485
8011,1141,2023-04-17,2002
8012,1069,2023-05-25,54336
8013,1004,2023-12-20,4270
8014,1078,2023-05-19,43365
8015,1200,2023-10-11,54311
8016,1009,2023-10-25,4501
8017,1121,2023-04-09,61348
8018,1115,2023-11-13,53135
8019,1163,2023-05-03,21446
8020,1101,2023-11-16,66634
8021,1149,2023-10-14,44244
8022,1186,2023-03-22,39659
8023,1146,2023-01-10,24171
8024,1097,2023-01-08,16950
8025,1200,2023-07-24,15408
8026,1081,2023-11-11,57775
8027,1043,2023-07-16,44858
8028,1095,2023-07-17,49547
8029,1006,2023-01-30,36018
8030,1067,2023-01-20,58313
8031,1140,2023-02-17,7306
8032,1100,2023-05-10,41391
8033,1012,2023-10-20,39720
8034,1066,2023-05-12,17658
8035,1002,2023-12-22,28088
8036,1143,2023-02-23,63076
8037,1151,2023-10-08,24688
8038,1157,2023-09-22,59330
8039,1081,2023-08-03,4519
8040,1135,2023-10-17,12919
8041,1156,2023-02-12,34197
8042,1142,2023-03-15,8473
8043,1172,2023-12-16,11636
8044,1158,2023-10-05,63002
8045,1160,2023-11-22,31785
8046,1070,2023-08-30,23539
8047,1115,2023-05-10,67220
8048,1088,2023-12-16,59655
8049,1006,2023-07-13,17411
8050,1027,2023-02-01,1416
8051,1082,2023-04-16,59552
8052,1088,2023-07-23,69610
8053,1120,2023-01-01,18290
8054,1024,2023-09-02,5706
8055,1102,2023-03-13,50450
8056,1034,2023-11-02,56861
8057,1168,2023-01-15,61951
8058,1047,2023-02-22,38196
8059,1024,2023-01-08,68726
8060,1065,2023-11-26,47228
8061,1018,2023-02-15,55901
8062,1044,2023-11-21,66726
8063,1076,2023-04-24,25603
8064,1057,2023-05-27,34763
8065,1107,2023-06-15,77121
8066,1156,2023-05-19,50544
8067,1124,2023-04-27,58230
8068,1199,2023-10-26,26325
8069,1151,2023-10-03,76756
8070,1162,2023-10-04,37771
8071,1139,2023-12-04,77756
8072,1163,2023-11-09,47232
8073,1116,2023-06-27,66933
8074,1093,2023-11-26,24072
8075,1042,2023-12-20,39046
8076,1028,2023-06-03,15650
8077,1123,2023-07-20,54665
8078,1024,2023-04-25,64190
8079,1136,2023-06-08,54164
8080,1106,2023-02-11,75699
8081,1118,2023-09-04,37448
8082,1053,2023-03-09,37530
8083,1200,2023-11-22,27507
8084,1132,2023-11-30,77272
8085,1100,2023-07-15,22524
8086,1005,2023-03-31,39884
8087,1049,2023-04-21,18657
8088,1098,2023-12-25,2256
8089,1030,2023-05-25,68612
8090,1072,2023-10-02,58551
8091,1103,2023-06-28,65095
8092,1063,2023-08-29,78710
8093,1175,2023-11-22,43594
8094,1026,2023-11-15,5035
8095,1185,2023-11-27,56535
8096,1037,2023-06-02,47867
8097,1007,2023-04-14,17618
8098,1127,2023-03-16,60312
8099,1168,2023-05-08,60384
8100,1092,2023-07-18,66668
8101,1167,2023-06-03,13780
8102,1190,2023-02-25,15246
8103,1103,2023-10-05,53751
8104,1053,2023-12-11,10707
8105,1132,2023-01-19,71627
8106,1108,2023-06-08,28257
8107,1112,2023-01-26,16726
8108,1153,2023-06-18,61907
8109,1007,2023-01-23,27706
8110,1156,2023-02-16,20756
8111,1197,2023-01-13,34322
8112,1067,2023-08-05,41840
8113,1108,2023-11-18,52734
8114,1111,2023-07-13,43851
8115,1148,2023-05-24,49171
8116,1083,2023-03-14,75820
8117,1124,2023-06-05,35657
8118,1139,2023-03-18,20437
8119,1104,2023-06-18,54790
8120,1067,2023-10-14,47207
8121,1007,2023-03-26,11719
8122,1151,2023-07-01,9899
8123,1189,2023-11-11,28157
8124,1199,2023-10-24,20547
8125,1110,2023-04-22,76595
8126,1034,2023-08-18,72654
8127,1106,2023-04-06,45391
8128,1147,2023-06-17,7280
8129,1058,2023-06-05,27550
8130,1009,2023-04-15,74051
8131,1048,2023-07-12,69166
8132,1115,2023-11-26,53510
8133,1041,2023-05-12,38665
8134,1048,2023-12-21,12028
8135,1173,2023-05-18,50108
8136,1025,2023-11-27,6414
8137,1116,2023-09-27,37636
8138,1078,2023-02-07,11679
8139,1108,2023-02-14,12576
8140,1025,2023-06-12,25283
8141,1147,2023-11-27,47216
8142,1039,2023-09-10,50798
8143,1119,2023-06-18,54804
8144,1079,2023-10-12,79860
8145,1080,2023-10-01,70335
8146,1027,2023-01-20,8618
8147,1104,2023-08-27,76792
8148,1074,2023-09-27,57411
8149,1191,2023-11-06,73989
8150,1068,2023-01-31,15685
8151,1147,2023-11-10,42292
8152,1028,2023-04-14,51113
8153,1123,2023-06-19,34427
8154,1161,2023-07-05,886
8155,1138,2023-05-08,73228
